tag,time,alt,range,V,Vz,LD,pDOH,eff_p
holding,60,3000,0,97.23,0,17,0,0.8
descentToAlternate,22.259,2865,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,2730,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.258,2595,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,2460,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,2325,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.258,2190,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,2055,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,1920,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,1785,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.258,1650,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,1515,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,1380,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.258,1245,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,1110,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,975,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,840,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.258,705,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,570,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.259,435,0,97.23,-6.065,16,0,0.8
descentToAlternate,22.258,300,0,97.23,-6.065,16,0,0.8
finalToAlternate,10.714,270,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,240,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,210,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,180,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,150,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,120,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,90,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,60,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,30,0,53.502,-2.8,7.5,0,0.8
finalToAlternate,10.714,0,0,53.502,-2.8,7.5,0,0.8
landing,10.618,0,0,53.502,0,8,0,0.8
