tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,16934.663851750247,14.700676476971072,0.0,0.15211938465269442,0.023105750641828536,11550,5000,0.3337271082242587,1592783.2172719424,4772711.529929479
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,16919.975414136392,14.688437613853656,0.0,0.1518866047321923,0.02321060115717218,11550,5000,0.33375277383694996,1591401.750094452,4768205.314967384
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,16905.29921642482,14.676197711571596,0.0,0.15165398193928548,0.02331525376255869,11550,5000,0.33377853695503523,1590021.4330400673,4763701.847174991
descent,46.935,7376,3895.528,83.34,-5.199,16.0,0,0.8,16905.007649787738,0.2915666370835955,0.0,-0.0009897600536006113,0.032532043269519466,11550,5000,0.11149222669002805,1616.949606803013,14502.80126971071
descent,46.936,7132,3895.527,83.34,-5.199,16.0,0,0.8,16904.71796122,0.28968856773692486,0.0,-0.0009944050985160424,0.03193779709161304,11550,5000,0.10616148565249518,1616.9217191830976,15230.7751652597
descent,46.936,6888,3895.528,83.34,-5.199,16.0,0,0.8,16904.426058716846,0.2919025031557346,0.0,-0.0010077829467118,0.03174050878550733,11550,5000,0.10193238582713013,1616.8940111958655,15862.417013744773
descent,46.935,6644,3895.527,83.34,-5.199,16.0,0,0.8,16904.12963180799,0.2964269088537938,0.0,-0.0010261951691944067,0.031759134557279266,11550,5000,0.0984034046134594,1616.866091451142,16430.99746195154
descent,46.936,6400,3895.528,83.34,-5.199,16.0,0,0.8,16903.82728422754,0.302347580451856,0.0,-0.0010476499230143773,0.0319004574294743,11550,5000,0.09534079547230474,1616.8377389585366,16958.509009170233
descent,46.936,6156,3895.527,83.34,-5.199,16.0,0,0.8,16903.518219176498,0.30906505104368254,0.0,-0.0010707694728397488,0.03210423072701416,11550,5000,0.09259038403232135,1616.8088201681385,17461.951768163577
descent,46.935,5912,3895.528,83.34,-5.199,16.0,0,0.8,16903.201896236904,0.3163229395941957,0.0,-0.0010949496041954428,0.03234442226337542,11550,5000,0.09003675039487259,1616.7792588687735,17956.88151536004
descent,46.936,5668,3895.527,83.34,-5.199,16.0,0,0.8,16902.877706977953,0.3241892589503296,0.0,-0.0011202914784420688,0.032624861990315425,11550,5000,0.08758155010361883,1616.749003370409,18459.92679345836
descent,46.936,5424,3895.528,83.34,-5.199,16.0,0,0.8,16902.545173574563,0.33253340339242365,0.0,-0.0011464301494947587,0.03293167462080234,11550,5000,0.08519551508142852,1616.717995478306,18976.562251347066
